code,city,country,name,latitude,longitude
RMT,Rocky Mount,USA,Rimatara,-22.637253,-152.805192
TTG,Tartagal,Argentina,General Enrique Mosconi Airport,-22.619167,-63.793189
ERS,Windhoek,Namibia,Eros Airport,-22.6122,17.0804
ILP,Ile des Pins (Isle of Pines),New Caledonia,Île des Pins Airport,-22.5889,167.456
PMG,Ponta Pora,Brazil,Ponta Pora,-22.549639,-55.702614
CJC,Calama,Chile,El Loa,-22.498175,-68.903575
WDH,Windhoek,Namibia,Windhoek Hosea Kutako International Airport,-22.486667,17.4625
RUR,Rurutu,French Polynesia,Rurutu,-22.434069,-151.360614
WIN,Winton,Australia,Winton Airport,-22.3636,143.086
BAU,Bauru,Brazil,Bauru,-22.345042,-49.0538
MEA,Macae,Brazil,Macaé Airport,-22.343,-41.766
GEA,Noumea,New Caledonia,Magenta,-22.258278,166.472806
SLJ,Chandler,USA,Solomon Airport,-22.255,117.85
YUE,Yuendumu,Australia,Yuendumu,-22.254167,131.781944
LEA,Learmouth (Exmouth),Australia,Learmonth,-22.235556,114.088611
DOU,Dourados,Brazil,Dourados Airport,-22.220833,-54.805833
MII,Marilia,Brazil,Marília Airport,-22.196892,-49.9264
TLD,Tuli Lodge,Botswana,Limpopo Valley Airport,-22.1892,29.1269
PPB,Presidente Prudente,Brazil,Presidente Prudente,-22.175056,-51.424639
WVK,Manakara,Madagascar,Manakara,-22.119722,48.021667
PKW,Selibi Phikwe,Botswana,Selebi Phikwe,-22.05835,27.828767
MOV,Moranbah,Australia,Moranbah Airport,-22.0578,148.077
VNX,Vilanculos,Mozambique,Vilankulo,-22.018431,35.313297
NOU,Noumea,New Caledonia,La Tontouta,-22.014553,166.212972
BYC,Yacuiba,Bolivia,Yacuiba,-21.960925,-63.651669
EXM,Exmouth,United Kingdom,Exmouth Airport,-21.933,114.128
MGS,Mangaia,Cook Islands,Mangaia Island Airport,-21.8956,-157.905
QSC,Sao Carlos,Brazil,Sao Carlos TAM,-21.875,-47.904
POO,Pocos de Caldas,Brazil,Pocos De Caldas,-21.843014,-46.567917
AQA,Araraquara,Brazil,Araraquara,-21.812,-48.133028
JDF,Juiz do Fora,Brazil,Francisco De Assis,-21.7915,-43.386778
MXM,Morombe,Madagascar,Morombe,-21.753867,43.375533
TEF,Telfer,Australia,Telfer Airport,-21.713057,122.21222
CAW,Campos,Brazil,Bartolomeu Lisandro,-21.698333,-41.301669
GNZ,Ghanzi,Botswana,Ghanzi Airport,-21.6925,21.6581
ONS,Onslow,Australia,Onslow,-21.667,115.116
LIP,Lins,Brazil,Lins,-21.664039,-49.730519
VAG,Varginha,Brazil,Major Brigadeiro Trompowsky,-21.590067,-45.473342
TJA,Tirija (Tarija),Bolivia,Capitan Oriel Lea Plaza,-21.555736,-64.701325
IZA,Santa Ynez,USA,Zona da Mata Regional Airport,-21.5130558,-43.17305756
MEE,Mare,New Caledonia,Mare,-21.481678,168.037508
WFI,Fianarantsoa,Madagascar,Fianarantsoa,-21.441558,47.111736
MJA,Manja,Madagascar,Manja Airport,-21.417,44.317
EUA,Eua,Tonga,Kaufana Airport,-21.3783,-174.958
ZSE,Saint Pierre,Reunion,St Pierre Pierrefonds,-21.320039,55.423581
ORP,Orapa,Botswana,Orapa Airport,-21.2667,25.3167
BYO,Bay of Islands,New Zealand,Bonito Airport,-21.247222,-56.4525
TBU,Nuku'Alofa (Tongatapu),Tonga,Fua Amotu Intl,-21.241214,-175.149644
RAR,Avarua,Cook Islands,Rarotonga Intl,-21.202739,-159.805556
MNJ,Mananjary,Madagascar,Mananjary,-21.201772,48.358317
MKY,Mackay,Australia,Mackay,-21.171667,149.179722
FRW,Francistown,Botswana,Francistown,-21.159597,27.474525
ARU,Aracatuba,Brazil,Aracatuba,-21.141342,-50.424722
RAO,Riberao Preto,Brazil,Leite Lopes,-21.134167,-47.774189
TGJ,Tiga,New Caledonia,Tiga Airport,-21.0961,167.804
KNQ,Kone,New Caledonia,Kone,-21.053428,164.837806
BFO,Buffalo Range,Zimbabwe,Buffalo Range,-21.008083,31.57855
RUN,Reunion (Saint Denis de la Reunion),Reunion,St Denis Gillot,-20.8871,55.510308
SJP,Sao Jose do Rio Preto,Brazil,Sao Jose Do Rio Preto,-20.816567,-49.406511
HGD,Hughenden,Australia,Hughenden Airport,-20.815,144.225
BMP,Brampton Island,Australia,Brampton Island,-20.8044444,149.2794444
BWB,Barrow Island,Australia,Barrow Island Airport,-20.798,115.406
TOU,Touho,New Caledonia,Touho,-20.790028,165.259486
ZTA,Tureia,French Polynesia,Tureia Airport,-20.7897,-138.57
LIF,Lifou (Lifu),New Caledonia,Lifou,-20.7748,167.239864
KTA,Dampier,Australia,Karratha,-20.712222,116.773333
CNJ,Cloncurry,Australia,Cloncurry Airport,-20.6686,140.504
JCK,Julia Creek,Australia,Julia Creek Airport,-20.6683,141.723
ISA,Mount Isa,Australia,Mount Isa,-20.663889,139.488611
UVE,Ouvea (Uvea),New Caledonia,Ouvea,-20.640556,166.572778
KOC,Koumac,New Caledonia,Koumac,-20.546314,164.255625
FRC,Franca,Brazil,Franca Airport,-20.538611,-47.400833
IQQ,Iquique,Chile,Diego Aracena Intl,-20.535222,-70.181275
PPP,Proserpine,Australia,Proserpine Whitsunday Coast,-20.495,148.552222
CGR,Campo Grande,Brazil,Campo Grande,-20.468667,-54.6725
MRU,Mauritius,Mauritius,Sir Seewoosagur Ramgoolam Intl,-20.430235,57.6836
PHE,Port Hedland,Australia,Port Hedland Intl,-20.377778,118.626389
HTI,Hamilton Island,Australia,Hamilton Island Airport,-20.3581,148.952
MOQ,Morondava,Madagascar,Morondava,-20.28475,44.317614
JHQ,Shute Harbour,Australia,Shute Harbour,-20.278299,148.757004
WSY,Airlie Beach,Australia,Whitsunday Airstrip,-20.276,148.755
VIX,Vitoria,Brazil,Goiabeiras,-20.258056,-40.286389
AUY,Aneityum,Vanuatu,Anelghowhat Airport,-20.2492,169.771
MUK,Mauke,Cook Islands,Mauke Airport,-20.1361,-157.345
HIS,Hayman Island,Australia,Hayman Island Airport,-20.066668,148.86667
MVZ,Masvingo,Zimbabwe,Masvingo Intl,-20.055333,30.859111
BUQ,Bulawayo,Zimbabwe,J M Nkomo Intl,-20.017431,28.617869
MUB,Maun,Botswana,Maun,-19.972564,23.431086
TCY,Tracy,USA,Terrace Bay,-19.9705556,13.0244444
AIU,Atiu,Cook Islands,Atiu Island Airport,-19.9678,-158.119
BHZ,Belo Horizonte,Brazil,Pampulha,-19.8517,-43.9508
PLU,Belo Horizonte,Brazil,Pampulha Carlos Drummond De Andrade,-19.851181,-43.950628
MOI,Mitiaro,Cook Islands,Mitiaro Island Airport,-19.8425,-157.703
ATJ,Antsirabe,Madagascar,Antsirabe,-19.836944,47.065278
BEW,Beira,Mozambique,Beira,-19.796419,34.907556
HPA,Haapai,Tonga,Lifuka Island Airport,-19.777,-174.341
UBA,Uberaba,Brazil,Uberaba,-19.765,-47.964778
RRG,Rodrigues Island,Mauritius,Plaine Corail,-19.757658,63.360983
BMY,Belep,New Caledonia,Belep Islands Airport,-19.7206,163.661
BMD,Belo,Madagascar,Belo sur Tsiribihina Airport,-19.6867,44.5419
TCA,Tennant Creek,Australia,Tennant Creek Airport,-19.6344,134.183
CNF,Belo Horizonte,Brazil,Tancredo Neves Intl,-19.63375,-43.968856
GFY,Grootfontein,Namibia,Grootfontein,-19.602167,18.122667
AAX,Araxa,Brazil,Araxa Airport,-19.563056,-46.960278
ZVA,Miandrivazo,Madagascar,Miandrivazo,-19.562778,45.450832
POI,Potosi,Bolivia,Capitan Nicolas Rojas,-19.543069,-65.723706
FTA,Futuna Island,Wallis and Futuna Islands,Futuna Airport,-19.5164,170.232
IPN,Ipatinga,Brazil,Usiminas,-19.470722,-42.487583
TAH,Tanna Island,Vanuatu,Tanna island,-19.455198,169.22394
GWE,Gweru,Zimbabwe,Gweru Thornhill,-19.436394,29.861911
TSV,Townsville,Australia,Townsville,-19.2525,146.765278
AWD,Aniwa,Vanuatu,Aniwa Airport,-19.24,169.605
TSB,Tsumeb,Namibia,Tsumeb Airport,-19.1542,17.4357
OKF,Okaukuejo,Namibia,Okaukuejo Airport,-19.1492,15.9119
KHW,Khwai River Landing,Botswana,Khwai River Lodge,-19.149166,23.7875
IUE,Niue Island,Niue Island,Niue International Airport,-19.080028,-169.925639
KDV,Kandavu,Fiji,Vunisea Airport,-19.0581,178.157
CMG,Corumba,Brazil,Corumba Intl,-19.011931,-57.673053
SRE,Sucre,Bolivia,Juana Azurduy De Padilla,-19.007083,-65.288747
PSZ,Puerto Suarez,Bolivia,Tte De Av Salvador Ogaya G,-18.975281,-57.820586
GVR,Governador Valadares,Brazil,Governador Valadares Airport,-18.8952,-41.9822
UDI,Uberlandia,Brazil,Ten Cel Av Cesar Bombonato,-18.882844,-48.225594
IPA,Ipota,Vanuatu,Ipota Airport,-18.8783,169.308
AIT,Aitutaki,Cook Islands,Aitutaki,-18.830922,-159.764233
OKU,Mokuti,Namibia,Mokuti Lodge Airport,-18.8128,17.0594
JVA,Ankavandra,Madagascar,Ankavandra Airport,-18.8,45.283
TNR,Antananarivo,Madagascar,Ivato,-18.79695,47.478806
DLY,Dillons Bay,Vanuatu,Dillon's Bay Airport,-18.7694,169.001
PMK,Palm Island,Australia,Palm Island Airport,-18.7553,146.581
